treatment,metric,effect,relative_effect,control_mean,se,ci_low,ci_high,p_value,margin,higher_is_better,noninferiority_pass
classic_text__top__two,user_utility,-0.00562846292087027,-0.007704601301309857,0.7305326649301601,0.00019795705372571598,-0.006016458746172673,-0.0052404670955678665,7.964672090194453e-178,-0.015,True,True
classic_text__inline__one,user_utility,0.005275455959212749,0.007221382714922254,0.7305326649301601,0.00014915739995821224,0.004983107455294653,0.005567804463130845,5.23136017099612e-274,-0.015,True,True
classic_text__inline__two,user_utility,-0.00013156712569195594,-0.00018009752610382445,0.7305326649301601,0.00015766396578322024,-0.0004405884986270676,0.0001774542472431557,0.4040116264664626,-0.015,True,True
rich_product__top__one,user_utility,9.436787467342889e-05,0.00012917680372642965,0.7305326649301601,0.0001438724042788659,-0.00018762203771314828,0.00037635778706000605,0.5118796812164201,-0.015,True,True
rich_product__top__two,user_utility,-0.0051819285301782925,-0.007093356367129308,0.7305326649301601,0.00019062952416825879,-0.0055555623975480795,-0.004808294662808505,1.0250233621349342e-162,-0.015,True,True
rich_product__inline__one,user_utility,0.005159281663330906,0.007062355882230318,0.7305326649301601,0.00018853854963342813,0.004789746106049386,0.005528817220612425,7.239480485069233e-165,-0.015,True,True
rich_product__inline__two,user_utility,-0.0001537240819785568,-0.0002104273899829695,0.7305326649301601,0.00016472434042802482,-0.00047658378921748546,0.00016913562526037185,0.35070628701052076,-0.015,True,True
conversational_sponsored__top__one,user_utility,0.005968576780031043,0.008170170981473698,0.7305326649301601,0.00016321504668415814,0.005648675288530093,0.006288478271531993,8.966499979042881e-293,-0.015,True,True
conversational_sponsored__top__two,user_utility,0.0007395811298167576,0.001012386119500163,0.7305326649301601,0.00016509840640374507,0.00041598825326541727,0.001063174006368098,7.476966321493565e-06,-0.015,True,True
conversational_sponsored__inline__one,user_utility,0.01099383476306448,0.015049066647985557,0.7305326649301601,0.00016348688188309862,0.010673400474573607,0.011314269051555354,0.0,-0.015,True,True
conversational_sponsored__inline__two,user_utility,0.0057478841017710725,0.007868072678612637,0.7305326649301601,0.0001917069917816216,0.0053721383978790945,0.00612362980566305,1.6520558899843313e-197,-0.015,True,True
classic_text__top__two,abandonment,0.003809743409219579,0.04463830789528171,0.08534694948914653,0.00022529152022462948,0.0033681720295793056,0.004251314788859853,3.7788767118147156e-64,0.01,False,True
classic_text__inline__one,abandonment,-0.013386138802696443,-0.1568437874208819,0.08534694948914653,0.00026131421846408706,-0.013898314670886053,-0.012873962934506832,0.0,0.01,False,True
classic_text__inline__two,abandonment,-0.00931842616398755,-0.10918288491579378,0.08534694948914653,0.0002512333682237787,-0.009810843565706157,-0.008826008762268944,3.965080373592763e-301,0.01,False,True
rich_product__top__one,abandonment,-0.00036259078216009655,-0.0042484328301178095,0.08534694948914653,0.0002703599369603839,-0.000892496258602449,0.00016731469428225593,0.17987469468473127,0.01,False,True
rich_product__top__two,abandonment,0.0031994199316649208,0.037487220701095905,0.08534694948914653,0.00025655500935969894,0.002696572113319911,0.0037022677500099304,1.0787752685791162e-35,0.01,False,True
rich_product__inline__one,abandonment,-0.013462836575482584,-0.15774244605186077,0.08534694948914653,0.0002664492446174498,-0.013985077094932786,-0.012940596056032382,0.0,0.01,False,True
rich_product__inline__two,abandonment,-0.009318910518770582,-0.1091885600428596,0.08534694948914653,0.00029741523076720313,-0.0099018443710743,-0.008735976666466864,1.6585884679174604e-215,0.01,False,True
conversational_sponsored__top__one,abandonment,0.008741939399742354,0.10242825844471519,0.08534694948914653,0.0003535510220739413,0.00804897939647743,0.009434899403007279,5.604635642502395e-135,0.01,False,True
conversational_sponsored__top__two,abandonment,0.012536179829854638,0.14688491978789292,0.08534694948914653,0.00028204797500663197,0.01198336579884164,0.013088993860867636,0.0,0.01,False,False
conversational_sponsored__inline__one,abandonment,-0.00421607449170637,-0.049399240593157034,0.08534694948914653,0.00024282033504639816,-0.004692002348397311,-0.0037401466350154297,1.574549172714709e-67,0.01,False,True
conversational_sponsored__inline__two,abandonment,-0.0010375526921243688,-0.0121568808063411,0.08534694948914653,0.00029615716253329804,-0.001618020730689633,-0.0004570846535591047,0.00045938420302151796,0.01,False,True
classic_text__top__two,reformulation,0.017925798124884873,0.09726763893320378,0.18429354635815706,0.0004384370284530948,0.017066461549116806,0.01878513470065294,0.0,0.01,False,False
classic_text__inline__one,reformulation,0.00025937974421935683,0.0014074271690191302,0.18429354635815706,0.0003343535907127412,-0.000395953293577616,0.0009147127820163297,0.43788787502656723,0.01,False,True
classic_text__inline__two,reformulation,0.018049531902945948,0.09793903400105174,0.18429354635815706,0.0003654872403217908,0.017333176911915237,0.01876588689397666,0.0,0.01,False,False
rich_product__top__one,reformulation,-0.0006806128269317702,-0.003693090943125396,0.18429354635815706,0.00048694882441617526,-0.0016350325227874737,0.0002738068689239334,0.16220042577965121,0.01,False,True
rich_product__top__two,reformulation,0.018348968729514636,0.09956381594532428,0.18429354635815706,0.00040674555382466367,0.017551747444018297,0.019146190015010976,0.0,0.01,False,False
rich_product__inline__one,reformulation,-0.00014010531488470312,-0.0007602290891533538,0.18429354635815706,0.0004963020299697957,-0.001112857293625503,0.0008326466638560965,0.7777146414014899,0.01,False,True
rich_product__inline__two,reformulation,0.018347172136920692,0.09955406740757324,0.18429354635815706,0.00041375254800968096,0.017536217142821716,0.019158127131019668,0.0,0.01,False,False
conversational_sponsored__top__one,reformulation,-0.006141165405776111,-0.03332273716107963,0.18429354635815706,0.00040153335979357637,-0.006928170790971521,-0.005354160020580701,8.347325939623441e-53,0.01,False,True
conversational_sponsored__top__two,reformulation,0.011498115574793771,0.062390223651392934,0.18429354635815706,0.00041419789061333085,0.010686287709191642,0.0123099434403959,1.3212772401155968e-169,0.01,False,False
conversational_sponsored__inline__one,reformulation,-0.006086673572414186,-0.03302705760832944,0.18429354635815706,0.0003875790893014317,-0.0068463285874449924,-0.00532701855738338,1.4124120103909886e-55,0.01,False,True
