policy,metric,effect_vs_control,se,margin,pass
P0_Control,user_utility,0.0,0.0,-0.015,True
P0_Control,abandonment,0.0,0.0,0.01,True
P0_Control,organic_engagement,0.0,0.0,-0.015,True
P0_Control,low_relevance_exposure,0.0,0.0,0.01,True
P0_Control,ad_density,0.0,0.0,0.25,True
P1_Best_safe_static,user_utility,0.011031667815543803,0.0006753571539236586,-0.015,True
P1_Best_safe_static,abandonment,-0.004788,0.001731288812288551,0.01,True
P1_Best_safe_static,organic_engagement,0.029170222057018212,0.0008591231432401552,-0.015,True
P1_Best_safe_static,low_relevance_exposure,-0.20809732660834632,0.0005039282795052496,0.01,True
P1_Best_safe_static,ad_density,0.0,0.0,0.25,True
P2_Global_AB_winner,user_utility,-0.006265851565542139,0.000676047181681385,-0.015,True
P2_Global_AB_winner,abandonment,0.002436,0.001770203927333515,0.01,True
P2_Global_AB_winner,organic_engagement,-0.03446739328140568,0.0008609495206769709,-0.015,False
P2_Global_AB_winner,low_relevance_exposure,-0.00024036561854562496,0.00024693480807225297,0.01,True
P2_Global_AB_winner,ad_density,1.0,0.0,0.25,False
P3_CTR_greedy,user_utility,-0.006265851565542139,0.000676047181681385,-0.015,True
P3_CTR_greedy,abandonment,0.002436,0.001770203927333515,0.01,True
P3_CTR_greedy,organic_engagement,-0.03446739328140568,0.0008609495206769709,-0.015,False
P3_CTR_greedy,low_relevance_exposure,-0.00024036561854562496,0.00024693480807225297,0.01,True
P3_CTR_greedy,ad_density,1.0,0.0,0.25,False
P4_Relevance_constrained_CTR,user_utility,-0.0006927701040186685,0.0006772569586852869,-0.015,True
P4_Relevance_constrained_CTR,abandonment,-0.003144,0.001730266215503111,0.01,True
P4_Relevance_constrained_CTR,organic_engagement,-0.028488963974037274,0.0008590943412505967,-0.015,False
P4_Relevance_constrained_CTR,low_relevance_exposure,-0.20809732660834632,0.0005039282795052496,0.01,True
P4_Relevance_constrained_CTR,ad_density,1.0,0.0,0.25,False
P5_Unconstrained_CATE,user_utility,0.0,0.0,-0.015,True
P5_Unconstrained_CATE,abandonment,0.0,0.0,0.01,True
P5_Unconstrained_CATE,organic_engagement,0.0,0.0,-0.015,True
P5_Unconstrained_CATE,low_relevance_exposure,0.0,0.0,0.01,True
P5_Unconstrained_CATE,ad_density,0.0,0.0,0.25,True
P6_AIX_constrained,user_utility,0.0,0.0,-0.015,True
P6_AIX_constrained,abandonment,0.0,0.0,0.01,True
P6_AIX_constrained,organic_engagement,0.0,0.0,-0.015,True
P6_AIX_constrained,low_relevance_exposure,0.0,0.0,0.01,True
P6_AIX_constrained,ad_density,0.0,0.0,0.25,True
