policy,metric,estimator,value,se_user_cluster
P0_Control,advertiser_value,IPS,0.017975562130566215,0.0010602930762853217
P0_Control,advertiser_value,DR,0.017975562130566215,0.0010602930762853217
P0_Control,advertiser_value,SNIPS,0.01783523450547712,
P0_Control,user_utility,IPS,0.7366343358059099,0.004307808234048817
P0_Control,user_utility,DR,0.730880455297187,0.00047744873648725313
P0_Control,user_utility,SNIPS,0.7308837425197644,
P0_Control,abandonment,IPS,0.085536,0.001212063199454162
P0_Control,abandonment,DR,0.085536,0.001212063199454162
P0_Control,abandonment,SNIPS,0.08486825655740633,
P0_Control,organic_engagement,IPS,0.5530894866261741,0.003277667646323611
P0_Control,organic_engagement,DR,0.5487192199115078,0.0006104101108412244
P0_Control,organic_engagement,SNIPS,0.5487717504932929,
P0_Control,low_relevance_exposure,IPS,0.209472,0.0020522174936524677
P0_Control,low_relevance_exposure,DR,0.20809732660834632,0.0005039282795052496
P0_Control,low_relevance_exposure,SNIPS,0.20783674052554502,
P0_Control,ad_density,IPS,1.007868,0.005856213319207471
P0_Control,ad_density,DR,1.0,0.0
P0_Control,ad_density,SNIPS,1.0,
P1_Best_safe_static,advertiser_value,IPS,0.018710479655261136,0.0012019650421788122
P1_Best_safe_static,advertiser_value,DR,0.018710479655261136,0.0012019650421788122
P1_Best_safe_static,advertiser_value,SNIPS,0.018573260407371475,
P1_Best_safe_static,user_utility,IPS,0.7474936496532965,0.004385719028532195
P1_Best_safe_static,user_utility,DR,0.7419121231127309,0.000479861657184869
P1_Best_safe_static,user_utility,SNIPS,0.7420116674541453,
P1_Best_safe_static,abandonment,IPS,0.080748,0.0012187309306523246
P1_Best_safe_static,abandonment,DR,0.080748,0.0012187309306523246
P1_Best_safe_static,abandonment,SNIPS,0.08015580888396527,
P1_Best_safe_static,organic_engagement,IPS,0.5822857738839846,0.0034547225822341
P1_Best_safe_static,organic_engagement,DR,0.577889441968526,0.0006084730562453843
P1_Best_safe_static,organic_engagement,SNIPS,0.5780153961373221,
P1_Best_safe_static,low_relevance_exposure,IPS,0.0,0.0
P1_Best_safe_static,low_relevance_exposure,DR,0.0,0.0
P1_Best_safe_static,low_relevance_exposure,SNIPS,0.0,
