treatment,effect,relative_effect,control_mean,se,ci_low,ci_high,p_value,family,status,p_value_adjusted,practically_significant
classic_text__top__two,0.0001747909930461984,0.010032788645873378,0.017421975007725524,0.00033332029565232225,-0.00047851678643235317,0.00082809877252475,0.6000048836607287,arm_exploratory,exploratory,0.6000048836607287,True
classic_text__inline__one,-0.002086109232343569,-0.11974011163593759,0.017421975007725524,0.00033094179281785175,-0.002734755146266558,-0.0014374633184205796,2.9089809818818305e-10,finalist_confirmatory,confirmatory,5.817961963763661e-10,False
classic_text__inline__two,-0.002132658682494199,-0.12241199298865382,0.017421975007725524,0.0002931933017029437,-0.002707317553831969,-0.0015579998111564294,3.492552305371061e-13,arm_exploratory,exploratory,4.656736407161415e-13,False
rich_product__top__one,0.007125406634844792,0.4089896025958672,0.017421975007725524,0.0003123423583621013,0.006513215612455074,0.0077375976572345104,3.421665343609144e-115,finalist_confirmatory,confirmatory,1.0264996030827432e-114,True
rich_product__top__two,0.00682922868838895,0.39198935168720117,0.017421975007725524,0.0003993915144742247,0.006046421320019469,0.00761203605675843,1.507574793255816e-65,arm_exploratory,exploratory,1.2060598346046528e-64,True
rich_product__inline__one,0.004783493493000959,0.27456666025980336,0.017421975007725524,0.0003785071147717762,0.0040416195480482775,0.005525367437953641,1.306751400083434e-36,arm_exploratory,exploratory,3.241369997398488e-36,True
rich_product__inline__two,0.004920341322789911,0.2824215578663186,0.017421975007725524,0.0003898582468748088,0.0041562191589152855,0.005684463486664537,1.620684998699244e-36,arm_exploratory,exploratory,3.241369997398488e-36,True
conversational_sponsored__top__one,0.00421330950988846,0.2418387988744174,0.017421975007725524,0.0002584566160604063,0.0037067345424100636,0.004719884477366856,9.581913624748014e-60,arm_exploratory,exploratory,3.8327654498992055e-59,True
conversational_sponsored__top__two,0.003755748610766916,0.21557536439476485,0.017421975007725524,0.0003076413732753138,0.003152771519147301,0.004358725702386531,2.810245604581694e-34,arm_exploratory,exploratory,4.49639296733071e-34,True
conversational_sponsored__inline__one,0.0017948297089654223,0.10302102420474894,0.017421975007725524,0.00037674242473894384,0.0010564145564770926,0.002533244861453752,1.8972058141160725e-06,finalist_confirmatory,confirmatory,1.8972058141160725e-06,True
conversational_sponsored__inline__two,0.0017940026814742896,0.10297355384098329,0.017421975007725524,0.00036066728070107215,0.0010870948113001883,0.002500910551648391,6.5544373961665e-07,arm_exploratory,exploratory,7.490785595618858e-07,True
