segment,treatment,effect,relative_effect,control_mean,se,ci_low,ci_high,p_value,p_value_bh,status
commercial,rich_product__top__one,0.008175195468757689,0.4165859279882283,0.01962427177566281,0.0003599991992664887,0.007469597038195371,0.008880793899320007,3.6566332281539744e-114,3.6566332281539744e-113,confirmatory_pre_specified
informational,rich_product__top__one,0.0007464726195699481,0.18206912498712396,0.004099940720991212,0.00038806667945150375,-1.4138072154999226e-05,0.0015070833112948955,0.05440876403306146,0.05440876403306146,confirmatory_pre_specified
high_relevance,rich_product__top__one,0.008580143330654901,0.3613990302093164,0.02374146750113143,0.0004775636562015006,0.00764411856449996,0.009516168096809842,3.5656474984500936e-72,8.914118746125234e-72,confirmatory_pre_specified
low_relevance,rich_product__top__one,0.0058805574892111055,0.49010405330284884,0.011998589788396111,0.0003569420972335522,0.005180950978633343,0.006580163999788868,5.565218983988271e-61,9.275364973313786e-61,confirmatory_pre_specified
head_query,rich_product__top__one,0.008029970400523598,0.38156692869301184,0.021044723210234182,0.000619091880066075,0.006816550315594091,0.009243390485453105,1.7970488219063577e-38,2.567212602723368e-38,confirmatory_pre_specified
tail_query,rich_product__top__one,0.006269899878686095,0.4505960172520376,0.013914681086004967,0.00034497200253491724,0.005593754753717657,0.006946045003654533,8.12835642352267e-74,2.7094521411742234e-73,confirmatory_pre_specified
cold_user,rich_product__top__one,0.006705276491044139,0.37890059695944917,0.01769666383439811,0.0003933371994338876,0.005934335580153719,0.007476217401934559,3.67024766969182e-65,7.34049533938364e-65,confirmatory_pre_specified
returning_user,rich_product__top__one,0.008109326452827768,0.48333570352696703,0.01677783452298868,0.0006486681361317659,0.006837936906009507,0.00938071599964603,7.325336616459941e-36,9.156670770574926e-36,confirmatory_pre_specified
low_exposure,rich_product__top__one,0.007115011140592067,0.39496982438571515,0.018014062597460027,0.0006580672520818926,0.005825199326511557,0.008404822954672576,3.020726777069972e-27,3.356363085633302e-27,confirmatory_pre_specified
high_exposure,rich_product__top__one,0.0071270913487715935,0.4109215532823433,0.017344165308054757,0.00034885197427818776,0.006443341479186345,0.007810841218356842,9.026045662528836e-93,4.513022831264418e-92,confirmatory_pre_specified
